"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:12,1796695","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 270.336, Length: 4.096"
"16:53:12,1798070","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 274.432, Length: 4.096"
"16:53:12,1798553","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 278.528, Length: 4.096"
"16:53:12,1799117","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 282.624, Length: 4.096"
"16:53:12,1799602","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 286.720, Length: 4.096"
"16:53:12,1800076","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 290.816, Length: 4.096"
"16:53:12,1801017","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 294.912, Length: 4.096"
"16:53:12,1801479","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 299.008, Length: 4.096"
"16:53:12,1801948","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 303.104, Length: 4.096"
"16:53:12,1802394","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 307.200, Length: 4.096"
"16:53:12,1803791","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 311.296, Length: 4.096"
"16:53:12,1804242","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 315.392, Length: 4.096"
"16:53:12,1804683","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 319.488, Length: 4.096"
"16:53:12,1805130","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 323.584, Length: 4.096"
"16:53:12,1805582","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 327.680, Length: 4.096"
"16:53:12,1806028","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 331.776, Length: 4.096"
"16:53:12,1806471","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 335.872, Length: 4.096"
"16:53:12,1806905","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 339.968, Length: 4.096"
"16:53:12,1808677","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 344.064, Length: 4.096"
"16:53:12,1809210","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 348.160, Length: 4.096"
"16:53:12,1809638","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 352.256, Length: 4.096"
"16:53:12,1810083","PrefUtil.exe","9864","ReadFile","D:\Eigene Dateien\Documents\Code\Wacom-Lobo-Adapter\wacom-lobo-adapter\spike\baseline-modified.Export.wacomxs","SUCCESS","Offset: 356.352, Length: 4.096"
